"","Station_species","sd"
"1","Chollas Reservoir_Bluegill",NA
"2","Chollas Reservoir_Largemouth Bass",NA
"3","Chollas Reservoir_Redear Sunfish",NA
"4","Cuyamaca Reservoir_Black Crappie",NA
"5","Cuyamaca Reservoir_Bluegill",1
"6","Cuyamaca Reservoir_Common Carp Fillet (Skin Off)",NA
"7","Cuyamaca Reservoir_Green Sunfish",NA
"8","Cuyamaca Reservoir_Largemouth Bass",NA
"9","Cuyamaca Reservoir_Rainbow Trout Fillet (Skin Off)",NA
"10","Dana Point Harbor_Chub Mackerel",NA
"11","Dana Point Harbor_Jacksmelt",NA
"12","Dana Point Harbor_Pacific Bonito",NA
"13","Dana Point Harbor_Pacific Oyster",NA
"14","Dana Point Harbor_Striped Mullet",NA
"15","Dana Point Harbor_Walleye Surfperch",NA
"16","Imperial Beach Pier_Barred Surfperch",NA
"17","Imperial Beach Pier_California Corbina",NA
"18","Imperial Beach Pier_California Corbina Fillet (Skin Off)",0.707106781186548
"19","Imperial Beach Pier_California Mussel",NA
"20","Imperial Beach Pier_Chub Mackerel",NA
"21","Imperial Beach Pier_Jacksmelt",NA
"22","Imperial Beach Pier_Pacific Bonito",NA
"23","Imperial Beach Pier_Pacific Sardine",NA
"24","Imperial Beach Pier_Queenfish",NA
"25","Lower Sweetwater River_Bluegill",NA
"26","Lower Sweetwater River_Bluegill Fillet (Skin Off)",NA
"27","Mission Bay_California Spiny Lobster",NA
"28","Mission Bay_Chub Mackerel",NA
"29","Mission Bay_Jacksmelt",NA
"30","Mission Bay_Pacific Bonito",NA
"31","Mission Bay_Pacific Oyster",NA
"32","Mission Bay_Spotfin Croaker",NA
"33","Oceanside Harbor_Barred Surfperch",NA
"34","Oceanside Harbor_California Spiny Lobster",NA
"35","Oceanside Harbor_Chub Mackerel",NA
"36","Oceanside Harbor_Jacksmelt",NA
"37","Oceanside Harbor_Pacific Bonito",NA
"38","Oceanside Harbor_Pacific Oyster",1.33643181644257
"39","Oceanside Harbor_Spotfin Croaker",NA
"40","Oceanside Pier_Barred Sand Bass",NA
"41","Oceanside Pier_Barred Surfperch",NA
"42","Oceanside Pier_California Mussel",NA
"43","Oceanside Pier_Jacksmelt",NA
"44","Oceanside Pier_Queenfish",NA
"45","Oceanside Pier_Spotfin Croaker Fillet (Skin Off)",NA
"46","Oceanside Pier_Spotfin Croaker Liver",NA
"47","Oceanside Pier_Yellowfin Croaker",NA
"48","San Diego Bay_California Spiny Lobster",4.24264068711928
"49","San Diego Bay_Graceful Rock Crab",NA
"50","San Diego Bay_Jack Mackerel",NA
"51","San Diego Bay_Pacific Oyster",NA
"52","San Diego Bay_Spotfin Croaker",NA
"53","San Diego Bay_Spotted Sand Bass",NA
"54","San Diego Bay_Spotted Sand Bass Fillet (Skin Off)",67.6792153506244
"55","San Diego River_Bluegill",NA
"56","San Diego River_Brown Bullhead",NA
"57","San Diego River_Common Carp Fillet (Skin Off)",NA
"58","San Diego River_Common Carp Liver",1.4142135623731
"59","San Diego River_Largemouth Bass",1.4142135623731
